id,shortDescription,description,categories,gender,imageUrl,brandName,seasonCode,materials,colors,path,x_overlap,y_overlap,category,encoded_category,x,y
20703174,single-breasted buttoned wool coat,"single-breasted buttoned wool coat from HARRIS WHARF LONDON featuring amethyst purple, notched lapels, long sleeves, front button fastening, chest welt pocket, two side flap pockets, American rear vent, straight hem and wool. We've partnered with Good On You — an independent agency that rates how brands perform in relation to their impact on the planet, people and animals, with a multi-criteria rating simplified to a five points scale. In order to be awarded our conscious label, larger brands need to score a minimum of four out of five ('Good'), while smaller brands must score at least three out of five ('It's A Start'). This item comes from a brand rated three out of five ('It's A Start') by Good on You. Please note, this is a brand-level rating and does not guarantee that this product is made with conscious materials.. Learn more about what makes a product Conscious on our Conscious Criteria page.","Women, Clothing, Coats, Single Breasted Coats",Woman,https://cdn-images.farfetch-contents.com/20/70/31/74/20703174_50668582_54.jpg,Harris Wharf London,AW23,Wool,"Purple, 580 DEEP AMETHYST PURPLE",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/20703174.jpg,13.075094,1.536834,Coats,0,91.83526812,13.82952021
20532564,Selenga padded midi jacket,"Selenga padded midi jacket from MONCLER featuring black, padded design, high-shine finish, logo patch at the sleeve, drawstring hood, front two-way zip fastening, two front welt pockets, long sleeves, elasticated cuffs, straight hem and mid-length.","Women, Clothing, Coats, Trench Coats & Raincoats",Woman,https://cdn-images.farfetch-contents.com/20/53/25/64/20532564_50646282_54.jpg,Moncler,AW23,Polyamide,"Black, 999",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/20532564.jpg,13.384358,6.0061855,Coats,0,94.83526812,42.82952021
19352493,Icon fringe-detail belted coat,"White/pollen Icon fringe-detail belted coat from ALANUI featuring virgin wool, V-neck, belted waist, long sleeves and fringe detailing.","Women, Clothing, Coats, Single Breasted Coats",Woman,https://cdn-images.farfetch-contents.com/19/35/24/93/19352493_43366710_54.jpg,Alanui,AW23,Virgin Wool,"White, Yellow, 0118 WHITE ARPA - POLLEN",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/19352493.jpg,7.188675,4.920672,Coats,0,53.83526812,33.82952021
18849197,Chelsea Heritage double-breasted trench coat,"Chelsea Heritage double-breasted trench coat from BURBERRY featuring navy blue, cotton, spread collar, hook and eye fastening, Vintage Check-pattern lining, epaulettes, double-breasted button fastening, belted waist, two side welt pockets, long sleeves, belted cuffs, storm flap and central rear vent.","Women, Clothing, Coats, Trench Coats & Raincoats",Woman,https://cdn-images.farfetch-contents.com/18/84/91/97/18849197_41358112_54.jpg,Burberry,AW23,"Cotton, Cotton, Viscose",COAL BLUE,/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/18849197.jpg,14.192862,1.9078343,Coats,0,101.83526812,15.82952021
20527841,drawstring hooded parka,light beige classic hood front zip fastening long sleeves drawstring cuffs two side inset pockets drawstring hem,"Women, Men, Clothing, Clothing, Coats, Coats, Parkas, Parkas",Unisex,https://cdn-images.farfetch-contents.com/20/52/78/41/20527841_50821612_54.jpg,Reebok LTD,AW23,Polyamide,"Neutrals, BEIGE / IVORY",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/20527841.jpg,13.466698,3.5463786,Coats,0,93.83526812,26.82952021
19724871,panelled quilted coat,"panelled quilted coat from THOM BROWNE featuring navy blue, dark green, goose down, down-feather filling, logo patch to the front, drawstring hood, front press-stud fastening, chest patch pocket, long sleeves, two front patch pockets and curved hem.","Women, Clothing, Coats, Trench Coats & Raincoats",Woman,https://cdn-images.farfetch-contents.com/19/72/48/71/19724871_44638599_54.jpg,Thom Browne,AW23,"Polyester, Cotton, Furs & Skins->Goose Down, Cotton","Blue, Green, 310 DK GREEN",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/19724871.jpg,13.510969,5.8382287,Coats,0,97.83526812,40.82952021
20946246,long single-breasted coat,"long single-breasted coat from BURBERRY featuring black, camel hair, wool blend, notched lapels, front button fastening, belted waist, two front flap pockets, central rear vent, below-knee length and straight hem.","Women, Clothing, Coats, Single Breasted Coats",Woman,https://cdn-images.farfetch-contents.com/20/94/62/46/20946246_51199904_54.jpg,Burberry,AW23,"Wool, Cupro, Natural (other)->Camel Hair","Black, A1189 BLACK",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/20946246.jpg,13.331482,1.4797332,Coats,0,96.83526812,9.82952021
21114302,single-breasted reversible cashmere coat,"single-breasted reversible cashmere coat from KIRED featuring beige, cashmere, notched lapels, long sleeves, front button fastening, two side patch pockets, straight hem and reversible.","Women, Clothing, Coats, Single Breasted Coats",Woman,https://cdn-images.farfetch-contents.com/21/11/43/02/21114302_51234884_54.jpg,Kired,AW23,Cashmere,"Neutrals, BEIGE",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/21114302.jpg,12.895063,2.0897505,Coats,0,88.83526811999998,16.82952021
18991003,Cypress puffer coat,"Cypress puffer coat from CANADA GOOSE featuring black, duck feather, padded design, logo patch at the sleeve, front zip fastening, long sleeves, two side slit pockets and adjustable hood.","Women, Clothing, Coats, Parkas",Woman,https://cdn-images.farfetch-contents.com/18/99/10/03/18991003_41723263_54.jpg,Canada Goose,AW23,"Furs & Skins->Duck Feathers, Polyamide, Polyamide","Black, 61 BLACK  NOIR",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/18991003.jpg,12.628475,6.129758,Coats,0,89.83526811999998,41.82952021
20308563,Q-Takry-Cmf planet-print padded coat,"Q-Takry-Cmf planet-print padded coat from DIESEL featuring multicolour, all-over graphic print, padded design, classic hood, funnel neck, logo plaque, two side inset pockets, concealed front fastening and long sleeves.","Women, Clothing, Coats, Parkas",Woman,https://cdn-images.farfetch-contents.com/20/30/85/63/20308563_50397466_54.jpg,Diesel,AW23,"Nylon, Polyamide","Grey, Blue, 8CLA",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/20308563.jpg,7.780142,4.7130117,Coats,0,57.83526812,34.82952021
18378865,Longline leather trench coat ,"Longline leather trench coat from DION LEE featuring black, leather, panelled design, notched lapels, front button and zip fastening, long sleeves, two front welt pockets, straight hem and mid-length.","Women, Clothing, Coats, Trench Coats & Raincoats",Woman,https://cdn-images.farfetch-contents.com/18/37/88/65/18378865_41145626_54.jpg,Dion Lee,SS23,Leather,"Black, BLACK",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/18378865.jpg,12.73446,4.079848,Coats,0,89.83526811999998,30.82952021
20238042,double-breasted cashmere coat,"double-breasted cashmere coat from BRUNELLO CUCINELLI featuring beige, cashmere, double-breasted button fastening, jetted chest pocket, two side flap pockets, peak lapels, shoulder pads, long sleeves and straight hem.","Women, Clothing, Coats, Double Breasted & Peacoats",Woman,https://cdn-images.farfetch-contents.com/20/23/80/42/20238042_51095766_54.jpg,Brunello Cucinelli,AW23,"Synthetic->Acetate, Cotton, Cashmere, Silk, Metals & Alloys->Eco Brass","Neutrals, C002 BEIGE",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/20238042.jpg,13.034948,2.0690877,Coats,0,91.83526812,15.82952021
16827307,down-feather mid-length coat,"Blue down-feather mid-length coat from HERNO featuring down-feather filling, front zip fastening, long sleeves, two side slit pockets and mid-length.","Women, Clothing, Coats, Trench Coats & Raincoats",Woman,https://cdn-images.farfetch-contents.com/16/82/73/07/16827307_34127200_54.jpg,Herno,AW23,"Feather Down, Polyamide, Polyamide","Blue, 9200 BLUE",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/16827307.jpg,13.268286,6.1219263,Coats,0,92.83526812,43.82952021
20515521,knitted-sleeved double-breasted coat,"knitted-sleeved double-breasted coat from FABIANA FILIPPI featuring dark grey, knitted panels, classic lapels, double-breasted button fastening, long sleeves, slip pockets to the sides, straight hem, alpaca, virgin wool and cashmere.","Women, Clothing, Coats, Double Breasted & Peacoats",Woman,https://cdn-images.farfetch-contents.com/20/51/55/21/20515521_50521357_54.jpg,Fabiana Filippi,AW23,"Wool or fine animal hair->Alpaca Wool, Virgin Wool, Polyamide, Cashmere, Viscose, Polyester","Grey, Black, VR2 BLACK GREY",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/20515521.jpg,12.680771,2.5121648,Coats,0,88.83526811999998,19.82952021
17783516,Pamanzi belted trench coat,"Pamanzi belted trench coat from MONCLER featuring black, classic collar, detachable hood, front press-stud fastening, belted waist, two front flap pockets, long sleeves, belted cuffs and straight hem.","Women, Clothing, Coats, Parkas",Woman,https://cdn-images.farfetch-contents.com/17/78/35/16/17783516_39741278_54.jpg,Moncler,AW23,"Polyamide, Polyamide","Black, 999 BLACK",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/17783516.jpg,12.651274,4.738754,Coats,0,87.83526811999998,32.82952021
20112796,quilted faux-fur coat,"quilted faux-fur coat from Balmain featuring brown, faux-fur design, quilted, collarless, V-neck, open front, long sleeves and calf-length.","Women, Clothing, Coats, Faux Fur & Shearling Coats",Woman,https://cdn-images.farfetch-contents.com/20/11/27/96/20112796_45243823_54.jpg,Balmain,AW23,"Polyester, Synthetic->Polyacrylic, Synthetic->Modacrylic","Brown, WAA",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/20112796.jpg,12.176714,2.933134,Coats,0,81.83526811999998,20.82952021
20542814,panelled wool-cashmere blend cape,"panelled wool-cashmere blend cape from HERNO featuring black, wool blend, quilted panels, down-feather filling, funnel neck, front press-stud fastening, concealed front fastening, dolman sleeves, buttoned cuffs, two front patch pockets and fringed edge.","Women, Clothing, Coats, Parkas",Woman,https://cdn-images.farfetch-contents.com/20/54/28/14/20542814_50570848_54.jpg,Herno,AW23,"Polyamide, Cashmere, Wool, Furs & Skins->Goose Down, Feather Down","Black, 9300  BLACK",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/20542814.jpg,12.734595,3.2752638,Coats,0,89.83526811999998,22.82952021
20514656,hooded puffer coat,"hooded puffer coat from HERNO featuring black, padded design, down-feather filling, drawstring hood, front two-way zip fastening, long sleeves, ribbed cuffs, two press-stud fastening side pockets, curved hem and knee-length.","Women, Clothing, Coats, Oversized Coats",Woman,https://cdn-images.farfetch-contents.com/20/51/46/56/20514656_50550862_54.jpg,Herno,AW23,"Furs & Skins->Goose Down, Polyamide, Furs & Skins->Feather, Polyamide","Black, 9300 BLACK",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/20514656.jpg,13.373105,5.9558725,Coats,0,94.83526812,41.82952021
15951191,shearling-trim midi coat,"Brown sheepskin/shearling shearling-trim midi coat from PRADA featuring shearling trim, classic collar, long sleeves, front button fastening and mid-length.","Women, Clothing, Coats, Faux Fur & Shearling Coats",Woman,https://cdn-images.farfetch-contents.com/15/95/11/91/15951191_29515572_54.jpg,Prada,AW21,"Furs & Skins->Sheep Skin/Shearling, Furs & Skins->Sheepskin","Brown, F0003 DARK BROWN",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/15951191.jpg,13.376737,2.923519,Coats,0,91.83526812,22.82952021
20878004,patchwork shearling coat,"patchwork shearling coat from TOM FORD featuring light beige, nappa leather, shearling, patchwork design, front two-way zip fastening, wide notch lapels, drop shoulder, long sleeves, knee-length and front slit.","Women, Clothing, Coats, Leather Coats",Woman,https://cdn-images.farfetch-contents.com/20/87/80/04/20878004_50891038_54.jpg,TOM FORD,AW23,"Furs & Skins->Lamb Fur, Polyester","Neutrals, AW006 CREAM WHITE",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/20878004.jpg,11.994131,3.2729483,Coats,0,83.83526811999998,23.82952021
20849911,Expedition hooded parka jacket ,"Expedition hooded parka jacket from CANADA GOOSE featuring black, duck down, duck feather, logo patch to the front, quilted, padded design, classic hood, front press-stud and zip fastening, wide shoulder straps, long sleeves, four front flap pockets, sleeve flap pocket and straight hem.","Women, Clothing, Coats, Parkas",Woman,https://cdn-images.farfetch-contents.com/20/84/99/11/20849911_51293093_54.jpg,Canada Goose,AW23,"Polyamide, Polyester, Furs & Skins->Duck Down, Cotton, Polyamide, Furs & Skins->Duck Feathers","Black, 61 - BLACK",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/20849911.jpg,12.921835,5.4869995,Coats,0,88.83526811999998,36.82952021
20045170,graphic-print belted-waist cape ,"graphic-print belted-waist cape from DOLCE & GABBANA featuring blue, multicolour, stretch-silk, all-over graphic print, belted waist, three-quarter length sleeves and floor-length.","Women, Clothing, Coats, Capes",Woman,https://cdn-images.farfetch-contents.com/20/04/51/70/20045170_45250766_54.jpg,Dolce & Gabbana,AW23,"Silk, Elastane","Blue, Red, HH4KX",/content/drive/MyDrive/소개원실-Team3/farfetch-data/womens/images (10.07)/coats_images/20045170.jpg,5.8579926,4.9247074,Coats,0,43.83526812,35.82952021
